Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,463.499,1.26958,8000,60,0,Win
std::from_chars,442.827,0.106719,8000,60,31,Loss
strtoll/strtoull,167.186,0.208019,8000,60,3,Loss
