# str-to-int Stage Results
#CPU: AMD EPYC 9V74 80-Core Processor-AVX2
#OS: Windows-10.0.26100
#Compiler: MSVC-19.51.36248.0

# str-to-int Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1800,1,6,2.5,100000,30

Library,Wins,Ties,Losses
vn::from_chars,58,4,1
strtoll/strtoull,1,0,63
std::from_chars,1,4,58
