Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,649.964,0.0861483,8000,60,18,Win
std::from_chars,480.242,0.239717,8000,60,20,Loss
strtoll/strtoull,247.779,0.415233,8000,60,8,Loss
