Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,340.226,0.132665,200000,60,3,Win
std::from_chars,317.93,0.111663,200000,60,60,Loss
strtoll/strtoull,123.458,0.094224,200000,60,13,Loss
