Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,532.154,1.00896,400000,60,37,Win
std::from_chars,451.852,0.665595,400000,60,52,Loss
strtoll/strtoull,273.615,1.03976,400000,60,12,Loss
