Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,239.372,0.146328,40000,60,57,Win
std::from_chars,154.824,0.13717,40000,60,58,Loss
strtoll/strtoull,121.373,0.106867,40000,60,41,Loss
