Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,198.933,0.254206,4000,60,16,Win
std::from_chars,153.709,0.321973,4000,60,0,Loss
strtoll/strtoull,108.546,0.175815,4000,60,8,Loss
