Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
std::from_chars,269.298,2.40964,0.594944ms,800,30,139810,2833.07,Win
strtoll/strtoull,178.814,1.89373,0.797952ms,800,30,195855,4266.67,Loss
