Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,401.603,3.39689,800,60,4,Win
strtoll/strtoull,176.455,2.13329,800,60,58,Loss
std::from_chars,85.407,4.16837,800,60,8,Loss
