# int-to-str-uniform Stage Results
#CPU: Intel(R) Core(TM) i9-14900KF-AVX2
#OS: Linux-6.18.33.2-microsoft-standard-WSL2
#Compiler: GCC-16.1.0

# int-to-str-uniform Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1200,1,6,2.5,100000,1200

Library,Wins,Ties,Losses
vn::to_chars,53,9,2
jeaiii::to_text,2,9,53
