# str-to-int-natural Stage Results
#CPU: Intel(R) Core(TM) i9-14900KF-AVX2
#OS: Linux-6.18.33.2-microsoft-standard-WSL2
#Compiler: GCC-16.1.0

# str-to-int-natural Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1200,1,6,2.5,100000,1200

Library,Wins,Ties,Losses
vn::from_chars,59,3,2
std::from_chars,2,3,59
strtoll/strtoull,0,0,64
