# str-to-int-uniform Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.6.0
#Compiler: Clang-23.1.0

# str-to-int-uniform Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,60,1200,5,20,10,100000,30

Library,Wins,Ties,Losses
vn::from_chars,42,1,5
std::from_chars,5,2,41
strtoll/strtoull,0,1,47
