# str-to-int-uniform-value Stage Results
#CPU: Intel(R) Core(TM) i9-14900KF-AVX2
#OS: Windows-10.0.26200
#Compiler: MSVC-19.51.36257.0

# str-to-int-uniform-value Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,60,1200,2.5,20,5,100000,30

Library,Wins,Ties,Losses
vn::from_chars,42,7,1
std::from_chars,1,7,42
strtoll/strtoull,0,0,50
