Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::to_chars,1289.48,2.14284,1.3724ms,9983,120,3.00375e+06,7383.33,2.3433,Tie
jeaiii::to_text,1224.14,2.01571,7.3967ms,9980,480,1.17909e+07,7775.42,2.47286,Tie
