Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::to_chars,3499.16,2.35092,2.2294ms,18879,240,3.51178e+06,5145.42,0.861066,Win
jeaiii::to_text,3051.63,1.75599,2.6688ms,18879,240,2.57607e+06,5900,0.989828,Loss
