# str-to-int-natural Stage Results
#CPU: Intel(R) Core(TM) i9-14900KF-AVX2
#OS: Windows-10.0.26200
#Compiler: MSVC-19.51.36256.0

# str-to-int-natural Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1200,1,6,2.5,100000,1200

Library,Wins,Ties,Losses
vn::from_chars,53,8,1
std::from_chars,3,8,50
strtoll/strtoull,0,0,63
