# str-to-int Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.4.0
#Compiler: Clang-22.1.8

# str-to-int Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1800,1,6,2.5,100000,30

Library,Wins,Ties,Losses
vn::from_chars,61,0,1
std::from_chars,3,1,55
strtoll/strtoull,0,1,62
