Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,462.019,0.0818156,400000,60,58,Win
std::from_chars,273.808,0.130266,400000,60,44,Loss
strtoll/strtoull,222.985,0.0670229,400000,60,49,Loss
