Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,310.237,0.48272,400,60,56,Win
std::from_chars,253.447,0.729259,400,60,54,Loss
strtoll/strtoull,166.103,0.384664,400,60,55,Loss
