Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,811.915,0.319809,800,60,59,Win
std::from_chars,358.28,0.302262,800,60,42,Loss
strtoll/strtoull,321.944,0.132849,800,60,5,Loss
