Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
vn::from_chars,807.811,0.0771308,3.30329ms,4000,30,397.995,4722.27,Win
std::from_chars,376.193,0.351187,3.09492ms,4000,30,38044.9,10140.3,Loss
strtoll/strtoull,223.082,1.4535,4.39346ms,4000,30,1.85328e+06,17100,Loss
