Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
vn::to_chars,469.107,0.606824,2.0329ms,5492,120,550925,11165.9,Win
jeaiii::to_text,455.445,1.04384,2.43507ms,5492,120,1.72945e+06,11500.8,Loss
