Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::to_chars,670.31,0.809488,0.1842ms,646,120,6655.46,920,4.42878,Tie
jeaiii::to_text,661.325,0.661435,0.2007ms,646,120,4565.13,932.5,4.48385,Tie
