Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
vn::from_chars,966.361,1.81294,143.255ms,800000,30,6.14594e+09,789498,Win
std::from_chars,762.4,1.94712,184.574ms,800000,30,1.13899e+10,1.00071e+06,Loss
strtoll/strtoull,330.51,1.42581,417.352ms,800000,30,3.2498e+10,2.30837e+06,Loss
