Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,195.122,0.450213,10000,60,60,Win
std::from_chars,168.557,0.625407,10000,60,2,Loss
strtoll/strtoull,86.8422,0.236854,10000,60,42,Loss
