Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,303.687,0.486542,10000,60,5,Win
std::from_chars,226.76,0.50695,10000,60,27,Loss
strtoll/strtoull,133.467,0.589547,10000,60,1,Loss
