Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
vn::from_chars,936.842,0.0324558,0.819306ms,4000,30,52.3954,4071.87,Win
std::from_chars,630.337,0.226121,3.06534ms,4000,30,5617.94,6051.83,Loss
strtoll/strtoull,288.219,2.12967,2.40335ms,4000,30,2.38352e+06,13235.4,Loss
