Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
vn::from_chars,57.9459,1.69569,31.4575ms,10000,30,2.33651e+08,164580,Win
std::from_chars,55.3529,0.659188,31.1259ms,10000,30,3.86954e+07,172290,Loss
strtoll/strtoull,25.4786,0.757873,68.0071ms,10000,30,2.41413e+08,374303,Loss
