Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,435.709,2.38563,800000,60,60,Win
std::from_chars,377.096,2.89657,800000,60,60,Loss
strtoll/strtoull,184.163,2.75675,800000,60,42,Loss
