Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,325.674,0.414361,800,60,60,Win
std::from_chars,230.367,0.491063,800,60,60,Loss
strtoll/strtoull,94.3231,0.532993,800,60,29,Loss
