Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
vn::from_chars,310.794,1.8676,61.0412ms,20000,480,6.30554e+08,61370.1,Win
std::from_chars,200.383,0.898794,15.467ms,20000,120,8.78292e+07,95185.1,Loss
