# str-to-int-natural Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.5.0
#Compiler: GCC-16.1.0

# str-to-int-natural Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1200,1,6,2.5,100000,1200

Library,Wins,Ties,Losses
vn::from_chars,37,3,1
std::from_chars,7,3,37
strtoll/strtoull,2,0,44
