# str-to-int-natural Stage Results
#CPU: Intel(R) Core(TM) i9-14900KF-AVX2
#OS: Linux-6.18.33.2-microsoft-standard-WSL2
#Compiler: Clang-24.0.0

# str-to-int-natural Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1200,1,6,2.5,100000,1200

Library,Wins,Ties,Losses
vn::from_chars,60,3,1
std::from_chars,1,3,60
strtoll/strtoull,0,0,64
