Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,108.06,0.0505873,200000,60,4,Win
std::from_chars,98.3379,0.0587559,200000,60,44,Loss
strtoll/strtoull,52.5838,0.036507,200000,60,3,Loss
