Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,307.429,0.0369083,800000,60,33,Win
std::from_chars,230.154,0.047578,800000,60,58,Loss
strtoll/strtoull,130.793,0.0290955,800000,60,56,Loss
