Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
vn::from_chars,542.74,1.83316,1278.32ms,800000,48,3.18741e+10,1.40572e+06,Win
std::from_chars,392.23,1.40391,846.685ms,800000,30,2.23717e+10,1.94513e+06,Loss
strtoll/strtoull,273.626,2.08535,504.038ms,800000,30,1.01425e+11,2.78826e+06,Loss
