Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::from_chars,257.866,0.164207,266.419ms,400000,30,1.77026e+08,1.47934e+06,11.7851,Win
std::from_chars,209.14,0.190255,379.081ms,400000,30,3.61277e+08,1.82399e+06,14.5285,Loss
strtoll/strtoull,150.766,0.296102,504.265ms,400000,30,1.68391e+09,2.53021e+06,20.1545,Loss
