Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
vn::from_chars,474.614,0.0634567,0.793501ms,2000,30,195.099,4018.73,Win
std::from_chars,224.707,0.0379218,1.61038ms,2000,30,310.833,8488.17,Loss
strtoll/strtoull,97.8348,1.26658,3.63526ms,2000,30,1.82918e+06,19495.6,Loss
