Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
vn::to_chars,678.982,0.516535,132.745ms,516108,120,1.68247e+09,724908,Win
jeaiii::to_text,292.554,1.32153,704.38ms,516089,240,1.18633e+11,1.68236e+06,Loss
