Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
vn::to_chars,4088.55,2.45524,0.7925ms,18880,120,1.40293e+06,4403.87,Win
jeaiii::to_text,2770.51,1.16064,1.22ms,18880,120,682748,6498.96,Loss
