Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
std::from_chars,647.299,0.812858,0.237291ms,800,120,11014.9,1178.65,4.61502,Win
vn::from_chars,612.188,1.34663,0.24921ms,800,120,33797.5,1246.25,4.88572,Loss
strtoll/strtoull,411.882,0.663951,0.357965ms,800,120,18150.4,1852.33,7.29726,Loss
