Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
vn::to_chars,1897.92,1.81554,29.975ms,314428,30,2.46841e+08,157995,Win
jeaiii::to_text,579.721,0.83365,728.399ms,314493,30,5.5805e+08,517359,Loss
