Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::from_chars,350.333,2.13526,3.90063ms,8000,30,6.48695e+06,21777.5,7.05488,Win
std::from_chars,228.066,0.741094,6.06704ms,8000,30,1.84385e+06,33452.5,10.8439,Loss
strtoll/strtoull,136.448,0.661988,10.1249ms,8000,30,4.11026e+06,55914.4,18.1332,Loss
