Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
vn::from_chars,416.052,1.54933,1690.12ms,800000,48,3.87449e+10,1.83376e+06,Win
std::from_chars,339.112,1.57178,412.839ms,800000,30,3.75144e+10,2.24981e+06,Loss
strtoll/strtoull,245.104,2.08401,564.468ms,800000,30,1.26241e+11,3.11272e+06,Loss
