Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
vn::from_chars,207.26,0.0355109,400000,60,56,Win
std::from_chars,174.784,0.0512679,400000,60,60,Loss
strtoll/strtoull,105.133,0.131527,400000,60,0,Loss
