Library,Throughput (MB/s),Throughput Deviation (%),Bytes Processed,Measured Executions,Iterations to Stabilize,Position
std::from_chars,58.2436,0.231271,10000,60,55,Win
vn::from_chars,57.2691,0.22464,10000,60,12,Loss
strtoll/strtoull,30.4973,0.146144,10000,60,47,Loss
