Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::to_chars,713.516,0.575733,0.6695ms,2639,30,12367.8,3526.67,4.23001,Win
jeaiii::to_text,448.012,0.427533,1.0425ms,2639,30,17298.9,5616.67,6.73598,Loss
