Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::to_chars,1918.64,4.96936,2.2783ms,25685,30,1.20747e+07,12766.7,1.57692,Win
jeaiii::to_text,648.359,1.94678,34.1521ms,25677,48,2.59503e+07,37768.8,4.68162,Loss
