Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
vn::to_chars,1889.99,0.53304,87.1712ms,948269,30,1.95158e+08,478490,1.60744,Win
jeaiii::to_text,1718.4,0.85637,95.413ms,948269,30,6.09343e+08,526270,1.76755,Loss
