Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
jeaiii::to_text,1785.44,1.12218,2.25428ms,4831,30,25150.7,2580.2,1.68562,Tie
vn::to_chars,1779.78,1.25818,2.25731ms,4831,30,31817.8,2588.4,1.68625,Tie
