# str-to-int-uniform-value Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.6.0
#Compiler: GCC-16.2.0

# str-to-int-uniform-value Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,60,1200,5,20,10,100000,30

Library,Wins,Ties,Losses
vn::from_chars,22,5,1
std::from_chars,1,5,22
strtoll/strtoull,0,0,28
