# str-to-int-uniform Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.5.0
#Compiler: Clang-22.1.8

# str-to-int-uniform Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1200,1,6,2.5,100000,1200

Library,Wins,Ties,Losses
vn::from_chars,52,4,5
std::from_chars,6,8,49
strtoll/strtoull,1,5,58
