Library,Throughput (MB/s),RSE (%),Time (ms),Bytes Processed,Measured Sample Size,Variance,Mean,Position
fmt::format_to,1232.09,2.24132,0.0494ms,267,30,643.678,206.667,Win
std::to_chars,553.546,1.97765,0.127ms,267,30,2482.76,460,Loss
