Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
vn::to_chars,4064.69,1.1074,30.7451ms,198790,240,6.4026e+07,46641.1,Win
jeaiii::to_text,2996.2,0.71402,11.616ms,198799,120,2.44958e+07,63276.8,Loss
