Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
jeaiii::to_text,676.759,1.30442,1.32301ms,5157,120,1.07864e+06,7268.27,Win
vn::to_chars,551.221,1.37382,8.15795ms,5160,480,7.22035e+06,8927.47,Loss
