Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
std::from_chars,150.239,0.660448,11.4381ms,10000,120,2.10909e+07,63477.3,Win
vn::from_chars,128.828,0.987066,13.558ms,10000,120,6.40692e+07,74026.7,Loss
strtoll/strtoull,88.2823,0.517214,19.6311ms,10000,120,3.74607e+07,108026,Loss
