# str-to-int-uniform-value Stage Results
#CPU: Intel(R) Core(TM) i9-14900KF-AVX2
#OS: Linux-6.18.40.1-microsoft-standard-WSL2
#Compiler: Clang-24.0.0

# str-to-int-uniform-value Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,60,1200,2.5,20,5,100000,30

Library,Wins,Ties,Losses
vn::from_chars,34,3,0
std::from_chars,0,3,34
strtoll/strtoull,0,0,37
