# str-to-int Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.4.0
#Compiler: GCC-16.1.0

# str-to-int Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold,MaxTimeInS,RseThreshold,MaxK,MinK
true,60,1800,1,6,2.5,100000,30

Library,Wins,Ties,Losses
vn::from_chars,48,0,0
strtoll/strtoull,1,0,48
std::from_chars,1,0,47
